"codigo_ocorrencia";"ocorrencia_classificacao";"ocorrencia_latitude";"ocorrencia_longitude";"ocorrencia_cidade";"ocorrencia_uf";"ocorrencia_pais";"ocorrencia_aerodromo";"ocorrencia_dia";"ocorrencia_hora";"investigacao_aeronave_liberada";"investigacao_status";"divulgacao_relatorio_numero";"divulgacao_relatorio_publicado";"divulgacao_dia_publicacao";"total_recomendacoes";"total_aeronaves_envolvidas";"ocorrencia_saida_pista";"Mes";"Dia_mes";"Semana_mes";"Dia_Semana";"Hora"
52714;"INCIDENTE";NA;NA;"RIBEIRÃO PRETO";"SP";"BRASIL";"";2014-10-03;20:00:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";10;3;1;6;20
52715;"INCIDENTE";NA;NA;"BRASÍLIA";"DF";"BRASIL";"SBBR";2014-10-04;18:10:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";10;4;1;7;18
52632;"ACIDENTE";-9,3727777778;-69,2336111111;"SENA MADUREIRA";"AC";"BRASIL";"";2014-10-05;12:00:00;"SIM";"FINALIZADA";"A-167/CENIPA/2014";"SIM";2015-04-30;0;1;"NÃO";10;5;1;1;12
52716;"INCIDENTE";NA;NA;"BELO HORIZONTE";"MG";"BRASIL";"SBBH";2014-10-05;11:47:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";10;5;1;1;11
52624;"INCIDENTE";NA;NA;"CAMPINAS";"SP";"BRASIL";"SBKP";2014-10-06;13:18:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";10;6;1;2;13
52717;"INCIDENTE";NA;NA;"JUNDIAÍ";"SP";"BRASIL";"SBJD";2014-10-06;16:00:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";10;6;1;2;16
52718;"INCIDENTE";NA;NA;"SALVADOR";"BA";"BRASIL";"SBSV";2014-10-07;14:40:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";10;7;1;3;14
52719;"INCIDENTE";NA;NA;"PORTO ALEGRE";"RS";"BRASIL";"SBPA";2014-10-07;21:40:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";10;7;1;3;21
52633;"ACIDENTE";NA;NA;"MARAU";"RS";"BRASIL";"";2014-10-08;12:00:00;"SIM";"FINALIZADA";"A-168/CENIPA/2014";"SIM";2015-07-21;0;1;"NÃO";10;8;2;4;12
52720;"INCIDENTE";NA;NA;"SÃO PAULO";"SP";"BRASIL";"";2014-10-08;16:00:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";10;8;2;4;16
52634;"ACIDENTE";-22,5266666667;-50,7466666667;"PARAGUAÇU PAULISTA";"SP";"BRASIL";"";2014-10-09;11:40:00;"SIM";"FINALIZADA";"A-169/CENIPA/2014";"SIM";2017-11-30;1;1;"NÃO";10;9;2;5;11
